"state","city","station_name","aqi"
"Andhra Pradesh","Amaravati","Secretariat, Amaravati - APPCB",82
"Andhra Pradesh","Rajamahendravaram","Anand Kala Kshetram, Rajamahendravaram - APPCB",102
"Andhra Pradesh","Tirupati","Tirumala, Tirupati - APPCB",55
"Andhra Pradesh","Visakhapatnam","GVM Corporation, Visakhapatnam - APPCB",116
"Assam","Guwahati","Railway Colony, Guwahati - APCB",162
"Bihar","Gaya","Collectorate, Gaya - BSPCB",199
"Bihar","Gaya","SFTI Kusdihra, Gaya - BSPCB",160
"Bihar","Hajipur","Industrial Area, Hajipur - BSPCB",99
"Bihar","Muzaffarpur","Buddha Colony, Muzaffarpur - BSPCB",175
"Bihar","Muzaffarpur","Muzaffarpur Collectorate, Muzaffarpur - BSPCB",340
"Bihar","Patna","DRM Office Danapur, Patna - BSPCB",289
"Bihar","Patna","Govt. High School Shikarpur, Patna - BSPCB",280
"Bihar","Patna","IGSC Planetarium Complex, Patna - BSPCB",347
"Bihar","Patna","Muradpur, Patna - BSPCB",278
"Bihar","Patna","Rajbansi Nagar, Patna - BSPCB",290
"Bihar","Patna","Samanpura, Patna - BSPCB",261
"Chandigarh","Chandigarh","Sector-25, Chandigarh - CPCC",144
"Delhi","Delhi","Alipur, Delhi - DPCC",NA
"Delhi","Delhi","Anand Vihar, Delhi - DPCC",400
"Delhi","Delhi","Ashok Vihar, Delhi - DPCC",415
"Delhi","Delhi","Aya Nagar, Delhi - IMD",312
"Delhi","Delhi","Bawana, Delhi - DPCC",394
"Delhi","Delhi","CRRI Mathura Road, Delhi - IMD",337
"Delhi","Delhi","Chandni Chowk, Delhi - IITM",360
"Delhi","Delhi","DTU, Delhi - CPCB",386
"Delhi","Delhi","Dr. Karni Singh Shooting Range, Delhi - DPCC",354
"Delhi","Delhi","Dwarka-Sector 8, Delhi - DPCC",364
"Delhi","Delhi","IGI Airport (T3), Delhi - IMD",319
"Delhi","Delhi","IHBAS, Dilshad Garden, Delhi - CPCB",342
"Delhi","Delhi","ITO, Delhi - CPCB",363
"Delhi","Delhi","Jahangirpuri, Delhi - DPCC",421
"Delhi","Delhi","Jawaharlal Nehru Stadium, Delhi - DPCC",359
"Delhi","Delhi","Lodhi Road, Delhi - IITM",274
"Delhi","Delhi","Lodhi Road, Delhi - IMD",301
"Delhi","Delhi","Major Dhyan Chand National Stadium, Delhi - DPCC",331
"Delhi","Delhi","Mandir Marg, Delhi - DPCC",349
"Delhi","Delhi","Mundka, Delhi - DPCC",379
"Delhi","Delhi","NSIT Dwarka, Delhi - CPCB",339
"Delhi","Delhi","Najafgarh, Delhi - DPCC",305
"Delhi","Delhi","Narela, Delhi - DPCC",393
"Delhi","Delhi","Nehru Nagar, Delhi - DPCC",398
"Delhi","Delhi","North Campus, DU, Delhi - IMD",340
"Delhi","Delhi","Okhla Phase-2, Delhi - DPCC",367
"Delhi","Delhi","Patparganj, Delhi - DPCC",401
"Delhi","Delhi","Punjabi Bagh, Delhi - DPCC",377
"Delhi","Delhi","Pusa, Delhi - DPCC",345
"Delhi","Delhi","Pusa, Delhi - IMD",310
"Delhi","Delhi","R K Puram, Delhi - DPCC",379
"Delhi","Delhi","Rohini, Delhi - DPCC",391
"Delhi","Delhi","Shadipur, Delhi - CPCB",324
"Delhi","Delhi","Sirifort, Delhi - CPCB",340
"Delhi","Delhi","Sonia Vihar, Delhi - DPCC",395
"Delhi","Delhi","Sri Aurobindo Marg, Delhi - DPCC",322
"Delhi","Delhi","Vivek Vihar, Delhi - DPCC",401
"Delhi","Delhi","Wazirpur, Delhi - DPCC",297
"Gujarat","Ahmedabad","Maninagar, Ahmedabad - GPCB",149
"Gujarat","Ankleshwar","GIDC, Ankleshwar - GPCB",NA
"Gujarat","Gandhinagar","Sector-10, Gandhinagar - GPCB",105
"Gujarat","Nandesari","GIDC, Nandesari - Nandesari Ind. Association",83
"Gujarat","Vapi","Phase-1 GIDC, Vapi - GPCB",147
"Gujarat","Vatva","Phase-4 GIDC, Vatva - GPCB",180
"Haryana","Ambala","Patti Mehar, Ambala - HSPCB",398
"Haryana","Bahadurgarh","Arya Nagar, Bahadurgarh - HSPCB",298
"Haryana","Ballabgarh","Nathu Colony, Ballabgarh - HSPCB",204
"Haryana","Bhiwani","H.B. Colony, Bhiwani - HSPCB",168
"Haryana","Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB",226
"Haryana","Dharuhera","Municipal Corporation Office, Dharuhera -  HSPCB",363
"Haryana","Faridabad","New Industrial Town, Faridabad - HSPCB",335
"Haryana","Faridabad","Sector 11, Faridabad - HSPCB",322
"Haryana","Faridabad","Sector 30, Faridabad - HSPCB",307
"Haryana","Faridabad","Sector- 16A, Faridabad - HSPCB",NA
"Haryana","Fatehabad","Huda Sector, Fatehabad - HSPCB",350
"Haryana","Gurugram","NISE Gwal Pahari, Gurugram - IMD",321
"Haryana","Gurugram","Sector-51, Gurugram - HSPCB",280
"Haryana","Gurugram","Teri Gram, Gurugram - HSPCB",280
"Haryana","Gurugram","Vikas Sadan, Gurugram - HSPCB",338
"Haryana","Hisar","Urban Estate-II, Hisar - HSPCB",336
"Haryana","Jind","Police Lines, Jind - HSPCB",363
"Haryana","Kaithal","Rishi Nagar, Kaithal - HSPCB",261
